

,Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
,Responden 1,3,1,1,1,3,3,4,3
,Responden 2,3,2,2,3,3,1,3,3
,Responden 3,0,3,3,4,1,3,3,3
,Responden 4,3,3,2,2,4,0,3,1
,Responden 5,2,1,1,2,1,2,3,3
,Responden 6,4,2,2,1,3,2,3,2
,Responden 7,3,3,3,1,2,3,3,1
,Responden 8,4,1,2,4,4,1,3,3
,Responden 9,4,3,3,3,1,3,3,1
,Responden 10,3,0,1,2,2,1,4,1
,Responden 11,3,3,2,3,3,3,3,3
,Responden 12,4,2,2,2,1,1,3,3
,Responden 13,4,2,2,3,1,1,4,3
,Responden 14,3,1,2,3,4,3,4,2
,Responden 15,3,2,2,3,3,1,3,2
,Responden 16,3,2,3,3,4,1,3,3
,Responden 17,0,2,2,2,1,2,4,3
,Responden 18,3,2,2,2,3,1,3,2
,Responden 19,3,2,2,2,3,1,3,2
,Responden 20,2,1,1,2,3,1,3,1
,Responden 21,3,2,2,3,1,3,3,3
,Responden 22,3,3,3,2,3,4,4,2
,Responden 23,4,4,4,3,2,4,3,3
,Responden 24,3,2,3,3,2,2,2,2
,Responden 25,4,2,2,1,3,3,4,3
,Responden 26,3,3,3,3,2,4,2,3
,Responden 27,3,2,3,2,4,1,1,1
,Responden 28,4,3,3,3,4,1,4,3
,Responden 29,3,3,3,2,2,3,3,2
,Responden 30,3,2,2,3,3,1,1,3
,Responden 31,4,3,3,3,0,3,3,3
,Responden 32,3,2,2,3,2,2,3,3
,Responden 33,3,3,3,1,3,3,3,4
,Responden 34,3,3,2,3,2,3,3,3
,Responden 35,4,2,2,4,2,2,3,3
,Responden 36,3,2,1,1,3,1,4,3
,Responden 37,3,1,1,3,3,1,3,1
,Responden 38,4,2,3,1,3,2,3,3
,Responden 39,4,3,3,3,3,1,3,3
,Responden 40,3,2,1,2,1,3,3,1
,Responden 41,4,2,1,3,4,0,4,2
,Responden 42,3,2,2,2,4,2,3,1
,Responden 43,3,2,2,2,4,2,3,1
,Responden 44,3,3,2,3,1,1,1,1
,Responden 45,3,1,1,3,3,2,3,3
,Responden 46,3,1,1,4,3,3,4,3
,Responden 47,4,3,3,3,1,3,3,4
,Responden 48,3,2,2,3,2,3,3,2
,Responden 49,4,3,3,0,4,3,4,3
,Responden 50,3,2,3,1,3,2,4,2
,Responden 51,3,1,1,2,2,2,4,1
,Responden 52,3,3,3,0,3,2,4,3
,Responden 53,4,3,3,3,3,3,2,3
,Responden 54,4,3,3,3,1,3,2,3
,Responden 55,4,0,0,1,2,2,3,0
,Responden 56,4,3,3,2,1,2,3,3
,Responden 57,3,3,3,4,4,4,3,1
,Responden 58,3,3,2,2,1,2,1,3
,Responden 59,3,3,3,3,1,3,3,3
,Responden 60,3,2,2,3,4,1,4,3
